"order_id","sales","profit","quantity","discount","country","state","city","postal_code","customer_name","product_name","category","sub_category","segment","shipping_mode","dt_order","dt_ship","year_order","year_ship","quarter_order","quarter_ship","month_order","month_ship","week_order","week_ship","week_day_order","week_day_ship"
CA-2018-155166,212.9400,25.5528000000000000,3,0.00,United States,New Jersey,Vineland,"8360",Brenda Bowman,Novimex Turbo Task Chair,Furniture,Chairs,Corporate,Standard Class,2018-12-26,2019-01-02,2018,2019,4,1,12,1,52,1,wed,wed
CA-2017-142734,127.7640,2.8392000000000000,2,0.10,United States,New York,New York City,"10024",Denise Monton,Novimex Turbo Task Chair,Furniture,Chairs,Corporate,Standard Class,2017-04-16,2017-04-21,2017,2017,2,2,4,4,15,16,sun,fri
CA-2019-101322,340.7040,-34.0704000000000000,6,0.20,United States,California,Long Beach,"90805",Jason Gross,Novimex Turbo Task Chair,Furniture,Chairs,Corporate,First Class,2019-12-28,2019-12-31,2019,2019,4,4,12,12,52,1,sat,tue
US-2018-123750,189.5880,-145.3508000000000000,2,0.70,United States,North Carolina,Gastonia,"28052",Ross Baird,GBC ProClick 150 Presentation Binding System,Office Supplies,Binders,Home Office,Standard Class,2018-04-15,2018-04-21,2018,2018,2,2,4,4,15,16,sun,sat
CA-2017-156377,14.7600,-11.4390000000000000,5,0.60,United States,Texas,Grand Prairie,"75051",Trudy Brown,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,Consumer,Standard Class,2017-12-31,2018-01-05,2017,2018,4,1,12,1,52,1,sun,fri
CA-2018-114951,22.1400,6.4206000000000000,3,0.00,United States,California,San Francisco,"94109",Duane Noonan,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,Consumer,Standard Class,2018-06-26,2018-07-03,2018,2018,2,3,6,7,26,27,tue,tue
US-2018-116442,14.7600,4.2804000000000000,2,0.00,United States,California,Los Angeles,"90004",Benjamin Patterson,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,Consumer,Standard Class,2018-12-15,2018-12-22,2018,2018,4,4,12,12,50,51,sat,sat
CA-2016-145387,14.7600,4.2804000000000000,2,0.00,United States,Rhode Island,Cranston,"2920",Anne McFarland,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,Consumer,Second Class,2016-10-31,2016-11-02,2016,2016,4,4,10,11,44,44,mon,wed
US-2018-147711,14.7600,4.2804000000000000,2,0.00,United States,Maryland,Baltimore,"21215",Herbert Flentye,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,Consumer,Second Class,2018-09-03,2018-09-08,2018,2018,3,3,9,9,36,36,mon,sat
CA-2017-122973,7.3800,2.1402000000000000,1,0.00,United States,New York,New York City,"10024",Pauline Johnson,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,Consumer,Second Class,2017-07-18,2017-07-20,2017,2017,3,3,7,7,29,29,tue,thu
CA-2019-124191,8.8560,-6.8634000000000000,3,0.60,United States,Illinois,Chicago,"60610",Troy Staebel,"Eldon Expressions Wood Desk Accessories, Oak",Furniture,Furnishings,Consumer,Second Class,2019-06-12,2019-06-14,2019,2019,2,2,6,6,24,24,wed,fri
CA-2018-152730,49.7600,13.9328000000000000,4,0.00,United States,Wisconsin,Superior,"54880",Eugene Moren,Eldon Simplefile Box Office,Office Supplies,Storage,Home Office,Standard Class,2018-05-30,2018-06-04,2018,2018,2,2,5,6,22,23,wed,mon
CA-2019-117457,9.6800,4.6464000000000000,1,0.00,United States,California,San Francisco,"94110",Keith Herrera,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,Consumer,Standard Class,2019-12-08,2019-12-12,2019,2019,4,4,12,12,49,50,sun,thu
CA-2016-148614,19.3600,9.2928000000000000,2,0.00,United States,California,Los Angeles,"90049",Mark Van Huff,"Wirebound Service Call Books, 5 1/2"" x 4""",Office Supplies,Paper,Consumer,Standard Class,2016-01-20,2016-01-25,2016,2016,1,1,1,1,3,4,wed,mon
